Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-3700989,Transcriptional Regulation by TP53,13,486,0.033014062,4.51E-05,0.016531691,22,259,0.019578199,9606,Homo sapiens,MYST3;CCNE2;RRM2B;BRCA1;COX6C;YWHAZ;E2F7;RAD9A,,R-HSA-6805638;R-HSA-6797606;R-HSA-6805061;R-HSA-5632887;R-HSA-6799332;R-HSA-6805059;R-HSA-6798304;R-HSA-5632892;R-HSA-5632732;R-HSA-163214;R-HSA-6798347;R-HSA-8952996;R-HSA-6805640;R-HSA-6805620;R-HSA-6805650;R-HSA-6798353;R-HSA-6797712;R-HSA-5632738;R-HSA-6797616;R-HSA-69562;R-HSA-6798299;R-HSA-8953013
R-HSA-1640170,Cell Cycle,16,734,0.049860743,6.59E-05,0.016531691,149,449,0.033940585,9606,Homo sapiens,NUP107;UBE2C;GINS4;BRCA1;TUBG1;TERF1;YWHAZ;PSMC3IP;ESPL1;CCNE2;CCND1;MYBL2;RAD9A,,R-HSA-69891;R-HSA-375302;R-HSA-75016;R-HSA-174088;R-HSA-164617;R-HSA-2990880;R-HSA-164620;R-HSA-2990882;R-HSA-163090;R-HSA-912408;R-HSA-163099;R-HSA-163096;R-HSA-8853405;R-HSA-174104;R-HSA-174105;R-HSA-188191;R-HSA-380455;R-HSA-174119;R-HSA-9018017;R-HSA-9686969;R-HSA-174120;R-HSA-174121;R-HSA-176942;R-HSA-8853419;R-HSA-75820;R-HSA-75823;R-HSA-75822;R-HSA-75825;R-HSA-75824;R-HSA-163120;R-HSA-174132;R-HSA-9634219;R-HSA-174139;R-HSA-176702;R-HSA-176956;R-HSA-176700;R-HSA-5683735;R-HSA-174144;R-HSA-69191;R-HSA-9670101;R-HSA-912458;R-HSA-69195;R-HSA-69199;R-HSA-912450;R-HSA-174157;R-HSA-9686980;R-HSA-9618378;R-HSA-174427;R-HSA-380508;R-HSA-174171;R-HSA-8964561;R-HSA-912470;R-HSA-8942803;R-HSA-174425;R-HSA-912467;R-HSA-9648114;R-HSA-141409;R-HSA-174438;R-HSA-174439;R-HSA-1363314;R-HSA-9668597;R-HSA-8978926;R-HSA-69227;R-HSA-9686521;R-HSA-174441;R-HSA-141422;R-HSA-174446;R-HSA-174447;R-HSA-141423;R-HSA-174444;R-HSA-174445;R-HSA-9686524;R-HSA-174451;R-HSA-9670114;R-HSA-174195;R-HSA-174448;R-HSA-1363303;R-HSA-2484822;R-HSA-141431;R-HSA-380272;R-HSA-174452;R-HSA-174202;R-HSA-912503;R-HSA-174456;R-HSA-1363311;R-HSA-1226094;R-HSA-8942836;R-HSA-1226095;R-HSA-141439;R-HSA-1363306;R-HSA-380283;R-HSA-187520;R-HSA-6799332;R-HSA-380294;R-HSA-8942607;R-HSA-1638803;R-HSA-176264;R-HSA-380303;R-HSA-69005;R-HSA-9615901;R-HSA-174227;R-HSA-380311;R-HSA-174224;R-HSA-9670149;R-HSA-69015;R-HSA-8848414;R-HSA-380316;R-HSA-2467775;R-HSA-2468287;R-HSA-174238;R-HSA-187552;R-HSA-174255;R-HSA-8848436;R-HSA-187574;R-HSA-187575;R-HSA-69562;R-HSA-188350;R-HSA-1638821;R-HSA-2467809;R-HSA-2467811;R-HSA-181450;R-HSA-4088309;R-HSA-4088306;R-HSA-4088307;R-HSA-8941895;R-HSA-4088305;R-HSA-157906;R-HSA-179410;R-HSA-188371;R-HSA-3000319;R-HSA-8941915;R-HSA-9615937;R-HSA-4088298;R-HSA-4088299;R-HSA-2529020;R-HSA-2574845;R-HSA-9615945;R-HSA-3000310;R-HSA-179417;R-HSA-2574840;R-HSA-179421;R-HSA-188386;R-HSA-188390;R-HSA-174058;R-HSA-9634169;R-HSA-174057;R-HSA-2467798;R-HSA-174070;R-HSA-174079
R-HSA-6804116,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,3,20,0.001358603,4.24E-04,0.059870983,7,17,0.001285056,9606,Homo sapiens,CCNE2;E2F7,,R-HSA-6798353;R-HSA-6798304;R-HSA-69562;R-HSA-6798299;R-HSA-6798347;R-HSA-8952996;R-HSA-8953013
R-HSA-74160,Gene expression (Transcription),26,1851,0.125738741,4.79E-04,0.059870983,68,996,0.075289138,9606,Homo sapiens,TPD52;MYST3;NUP107;BRF2;CPSF1;UBE2C;INTS2;ATAD2;ASH2L;BRCA1;COX6C;YWHAZ;RRM2B;CCNE2;CCND1;RHPN1;MYBL2;E2F7;RAD9A,,R-HSA-8937097;R-HSA-6799332;R-HSA-6798304;R-HSA-5632732;R-HSA-3790130;R-HSA-163214;R-HSA-8937989;R-HSA-8952069;R-HSA-8937369;R-HSA-6805620;R-HSA-9008412;R-HSA-112152;R-HSA-77592;R-HSA-8951442;R-HSA-8936979;R-HSA-8951443;R-HSA-112156;R-HSA-8936616;R-HSA-6805061;R-HSA-5632887;R-HSA-6805059;R-HSA-8936621;R-HSA-8936481;R-HSA-5632892;R-HSA-8869549;R-HSA-8936995;R-HSA-8952996;R-HSA-5578744;R-HSA-8865320;R-HSA-8937016;R-HSA-6814549;R-HSA-8935740;R-HSA-112054;R-HSA-5632738;R-HSA-6814559;R-HSA-8869566;R-HSA-8935731;R-HSA-69562;R-HSA-8936628;R-HSA-6798299;R-HSA-6814555;R-HSA-8953013;R-HSA-6814554;R-HSA-6797606;R-HSA-6814885;R-HSA-8853956;R-HSA-8937037;R-HSA-9614423;R-HSA-8853965;R-HSA-975040;R-HSA-83793;R-HSA-8937050;R-HSA-6797616;R-HSA-83803;R-HSA-6805638;R-HSA-6798347;R-HSA-6805640;R-HSA-9614562;R-HSA-8952058;R-HSA-72180;R-HSA-6805650;R-HSA-8952062;R-HSA-6798353;R-HSA-9614564;R-HSA-6797712;R-HSA-8938867;R-HSA-9007605;R-HSA-9007606
R-HSA-73857,RNA Polymerase II Transcription,24,1693,0.115005774,7.33E-04,0.073279739,62,885,0.066898481,9606,Homo sapiens,TPD52;MYST3;CPSF1;UBE2C;INTS2;ATAD2;ASH2L;BRCA1;COX6C;YWHAZ;RRM2B;CCNE2;CCND1;RHPN1;MYBL2;E2F7;RAD9A,,R-HSA-8937097;R-HSA-6799332;R-HSA-6798304;R-HSA-5632732;R-HSA-3790130;R-HSA-163214;R-HSA-8937989;R-HSA-8952069;R-HSA-8937369;R-HSA-6805620;R-HSA-9008412;R-HSA-77592;R-HSA-8951442;R-HSA-8936979;R-HSA-8951443;R-HSA-8936616;R-HSA-6805061;R-HSA-5632887;R-HSA-6805059;R-HSA-8936621;R-HSA-8936481;R-HSA-5632892;R-HSA-8869549;R-HSA-8936995;R-HSA-8952996;R-HSA-8865320;R-HSA-8937016;R-HSA-6814549;R-HSA-8935740;R-HSA-5632738;R-HSA-6814559;R-HSA-8869566;R-HSA-8935731;R-HSA-69562;R-HSA-8936628;R-HSA-6798299;R-HSA-6814555;R-HSA-8953013;R-HSA-6814554;R-HSA-6797606;R-HSA-6814885;R-HSA-8853956;R-HSA-8937037;R-HSA-9614423;R-HSA-8853965;R-HSA-975040;R-HSA-8937050;R-HSA-6797616;R-HSA-6805638;R-HSA-6798347;R-HSA-6805640;R-HSA-9614562;R-HSA-8952058;R-HSA-72180;R-HSA-6805650;R-HSA-8952062;R-HSA-6798353;R-HSA-9614564;R-HSA-6797712;R-HSA-8938867;R-HSA-9007605;R-HSA-9007606
R-HSA-5685942,HDR through Homologous Recombination (HRR),4,72,0.004890972,0.001847198,0.1006829,14,19,0.001436239,9606,Homo sapiens,EME1;BRCA1;RAD9A,,R-HSA-5693620;R-HSA-5693589;R-HSA-5686483;R-HSA-5693584;R-HSA-5686430;R-HSA-5685341;R-HSA-5693593;R-HSA-5693561;R-HSA-5686469;R-HSA-5693539;R-HSA-5685838;R-HSA-5686410;R-HSA-5686475;R-HSA-5686440
R-HSA-8869496,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,2,9,6.11E-04,0.001957108,0.1006829,2,7,5.29E-04,9606,Homo sapiens,MYBL2,,R-HSA-8869566;R-HSA-8869549
R-HSA-5693568,Resolution of D-loop Structures through Holliday Junction Intermediates,3,36,0.002445486,0.002276105,0.1006829,8,9,6.80E-04,9606,Homo sapiens,EME1;BRCA1,,R-HSA-5686469;R-HSA-5686483;R-HSA-5693539;R-HSA-5693584;R-HSA-5686430;R-HSA-5686410;R-HSA-5686475;R-HSA-5686440
R-HSA-9687139,Aberrant regulation of mitotic cell cycle due to RB1 defects,3,36,0.002445486,0.002276105,0.1006829,2,3,2.27E-04,9606,Homo sapiens,CCNE2;CCND1;UBE2C,,R-HSA-9687377;R-HSA-9659782
R-HSA-8951430,RUNX3 regulates WNT signaling,2,10,6.79E-04,0.002404996,0.1006829,2,5,3.78E-04,9606,Homo sapiens,CCND1,,R-HSA-8951442;R-HSA-8951443
R-HSA-5693537,Resolution of D-Loop Structures,3,37,0.002513416,0.00245843,0.1006829,9,10,7.56E-04,9606,Homo sapiens,EME1;BRCA1,,R-HSA-5693589;R-HSA-5686469;R-HSA-5686483;R-HSA-5693539;R-HSA-5693584;R-HSA-5686430;R-HSA-5686410;R-HSA-5686475;R-HSA-5686440
