,Pathway name
0,Transcriptional Regulation by TP53
1,Cell Cycle
2,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest
3,Gene expression (Transcription)
4,RNA Polymerase II Transcription
5,HDR through Homologous Recombination (HRR)
6,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation
7,Resolution of D-loop Structures through Holliday Junction Intermediates
8,Aberrant regulation of mitotic cell cycle due to RB1 defects
9,RUNX3 regulates WNT signaling
10,Resolution of D-Loop Structures
11,Diseases of mitotic cell cycle
12,G0 and Early G1
13,Generic Transcription Pathway
14,"Cell Cycle, Mitotic"
15,Transcriptional Regulation by VENTX
16,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors
17,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)"
18,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects
19,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1
20,TP53 Regulates Transcription of Cell Cycle Genes
21,RHO GTPases activate CIT
22,HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)
23,TP53 Regulates Metabolic Genes
24,Diseases of DNA Double-Strand Break Repair
25,Defective DNA double strand break response due to BRCA1 loss of function
26,"Defective SLC39A4 causes acrodermatitis enteropathica, zinc-deficiency type (AEZ)"
27,Defective DNA double strand break response due to BARD1 loss of function
28,Homology Directed Repair
29,Cell Cycle Checkpoints
30,Estrogen-dependent nuclear events downstream of ESR-membrane signaling
31,Signaling by Rho GTPases
32,G2/M DNA damage checkpoint
33,Mitophagy
34,TP53 Regulates Transcription of DNA Repair Genes
35,Selective autophagy
36,Transport of Mature Transcript to Cytoplasm
37,Meiosis
38,RHO GTPase Effectors
39,Regulation of TP53 Activity through Phosphorylation
40,HDR through Single Strand Annealing (SSA)
41,DNA Double-Strand Break Repair
42,Presynaptic phase of homologous DNA pairing and strand exchange
43,Mitotic G1 phase and G1/S transition
44,Fanconi Anemia Pathway
45,Regulation of TP53 Activity
46,Homologous DNA Pairing and Strand Exchange
47,Deactivation of the beta-catenin transactivating complex
48,S Phase
49,Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes
50,Transport of Mature mRNA Derived from an Intronless Transcript
51,Transcriptional Regulation by E2F6
52,Transport of Mature mRNAs Derived from Intronless Transcripts
53,Toxicity of botulinum toxin type C (botC)
54,Cyclin D associated events in G1
55,G1 Phase
56,PTK6 Regulates Cell Cycle
57,Reproduction
58,Mitotic Prometaphase
59,mRNA 3'-end processing
60,Meiotic recombination
61,RHO GTPases Activate Rhotekin and Rhophilins
62,Neurexins and neuroligins
63,Synthesis of DNA
64,SCF(Skp2)-mediated degradation of p27/p21
65,Meiotic synapsis
66,Zinc influx into cells by the SLC39 gene family
67,M Phase
68,Synthesis of PA
69,DNA Replication
70,GP1b-IX-V activation signalling
71,Unwinding of DNA
72,Inactivation of CDC42 and RAC1
73,WNT mediated activation of DVL
74,AKT phosphorylates targets in the nucleus
75,NOTCH4 Activation and Transmission of Signal to the Nucleus
76,RNA Polymerase II Transcription Termination
77,Receptor Mediated Mitophagy
78,tRNA processing in the nucleus
79,DNA Damage/Telomere Stress Induced Senescence
80,Macroautophagy
81,Regulation of localization of FOXO transcription factors
82,Utilization of Ketone Bodies
83,LGI-ADAM interactions
84,G2/M Checkpoints
85,CDK-mediated phosphorylation and removal of Cdc6
86,Reduction of cytosolic Ca++ levels
87,Condensation of Prometaphase Chromosomes
88,Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
89,Diseases of DNA repair
90,Activated NTRK2 signals through FRS2 and FRS3
91,RUNX3 regulates p14-ARF
92,Transport of Mature mRNA derived from an Intron-Containing Transcript
93,Recruitment of mitotic centrosome proteins and complexes
94,SUMOylation of DNA damage response and repair proteins
95,Signaling by FGFR3 fusions in cancer
96,Frs2-mediated activation
97,Vitamin B2 (riboflavin) metabolism
98,Chromatin organization
99,Chromatin modifying enzymes
100,Autophagy
101,Centrosome maturation
102,Retrograde neurotrophin signalling
103,Zinc transporters
104,DNA Repair
105,Processing of Intronless Pre-mRNAs
106,Signaling by FGFR4 in disease
107,Activation of BAD and translocation to mitochondria 
108,Cyclin E associated events during G1/S transition 
109,Phosphorylation of the APC/C
110,Aberrant regulation of mitotic exit in cancer due to RB1 defects
111,Class I peroxisomal membrane protein import
112,Prolonged ERK activation events
113,KSRP (KHSRP) binds and destabilizes mRNA
114,Processing of DNA double-strand break ends
115,Cyclin A:Cdk2-associated events at S phase entry
116,mRNA decay by 5' to 3' exoribonuclease
117,Inactivation of APC/C via direct inhibition of the APC/C complex
118,Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components
119,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors
120,Switching of origins to a post-replicative state
121,Protein-protein interactions at synapses
122,Removal of the Flap Intermediate from the C-strand
123,Telomere C-strand synthesis initiation
124,Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase
125,PINK1-PRKN Mediated Mitophagy
126,Serotonin Neurotransmitter Release Cycle
127,Polo-like kinase mediated events
128,Pre-NOTCH Processing in Golgi
129,Recruitment of NuMA to mitotic centrosomes
130,Signaling by Insulin receptor
131,APC/C:Cdc20 mediated degradation of Cyclin B
132,PI-3K cascade:FGFR3
133,Pyrimidine biosynthesis
134,Rap1 signalling
135,Synthesis of Ketone Bodies
136,Other interleukin signaling
137,Chaperonin-mediated protein folding
138,Separation of Sister Chromatids
139,PI-3K cascade:FGFR4
140,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane
141,Signal transduction by L1
142,APC-Cdc20 mediated degradation of Nek2A
143,Acetylcholine Neurotransmitter Release Cycle
144,Cellular Senescence
145,Protein folding
146,FRS-mediated FGFR3 signaling
147,Mitochondrial calcium ion transport
148,RHO GTPases activate PAKs
149,PI-3K cascade:FGFR1
150,FRS-mediated FGFR4 signaling
151,RNA Polymerase III Transcription Initiation From Type 3 Promoter
152,Processing of Capped Intronless Pre-mRNA
153,Dopamine Neurotransmitter Release Cycle
154,Insulin receptor recycling
155,Ketone body metabolism
156,Neurotoxicity of clostridium toxins
157,HATs acetylate histones
158,Extra-nuclear estrogen signaling
159,mTORC1-mediated signalling
160,Synthesis of UDP-N-acetyl-glucosamine
161,Mitotic Spindle Checkpoint
162,Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)
163,TNFR1-induced NFkappaB signaling pathway
164,Norepinephrine Neurotransmitter Release Cycle
165,Insulin processing
166,Regulation of HSF1-mediated heat shock response
167,Pre-NOTCH Expression and Processing
168,G2/M Transition
169,Mitotic G2-G2/M phases
170,PI-3K cascade:FGFR2
171,FRS-mediated FGFR1 signaling
172,Polymerase switching on the C-strand of the telomere
173,TCF dependent signaling in response to WNT
174,Postmitotic nuclear pore complex (NPC) reformation
175,Glutamate Neurotransmitter Release Cycle
176,Metalloprotease DUBs
